"","behavior","ID","turtle.name","date","treatment","group","nest.number","avgcount"
"87","dive (count)","L179","Kevin",2019-01-16,"food","B",6,4
"88","dive (count)","L179","Kevin",2019-01-22,"clean plastic","B",6,4
"89","dive (count)","L179","Kevin",2019-01-30,"conditioned plastic","B",6,2
"90","dive (count)","L180","Meredith",2019-01-16,"dh2o","B",6,2
"91","dive (count)","L180","Meredith",2019-01-24,"conditioned plastic","B",6,4
"92","dive (count)","L180","Meredith",2019-02-01,"clean plastic","B",6,3
"93","dive (count)","L181","Daryll",2019-01-16,"conditioned plastic","B",7,1.5
"94","dive (count)","L181","Daryll",2019-01-24,"clean plastic","B",7,3
"95","dive (count)","L181","Daryll",2019-01-30,"food","B",7,4
"96","dive (count)","L181","Daryll",2019-02-01,"dh2o","B",7,4
"97","dive (count)","L182","Jan",2019-01-22,"dh2o","B",7,1
"98","dive (count)","L182","Jan",2019-01-24,"conditioned plastic","B",7,4
"99","dive (count)","L182","Jan",2019-01-30,"clean plastic","B",7,4
"100","dive (count)","L183","Creed",2019-01-18,"dh2o","B",8,1
"101","dive (count)","L183","Creed",2019-01-30,"clean plastic","B",8,2
"102","dive (count)","L183","Creed",2019-02-01,"conditioned plastic","B",8,1
"103","traverse","L169","Michael",2019-01-17,"food","A",1,1
"104","traverse","L169","Michael",2019-01-25,"conditioned plastic","A",1,6.5
"105","traverse","L170","Dwight",2019-01-23,"food","A",1,1
"106","traverse","L170","Dwight",2019-01-31,"conditioned plastic","A",1,1
"107","traverse","L171","Pam",2019-01-31,"conditioned plastic","A",2,2
"108","traverse","L172","Jim",2019-01-17,"dh2o","A",2,2
"109","traverse","L172","Jim",2019-01-25,"conditioned plastic","A",2,2
"110","traverse","L172","Jim",2019-02-02,"food","A",2,1
"111","traverse","L173","Kelly",2019-01-15,"food","A",3,4
"112","traverse","L173","Kelly",2019-02-02,"conditioned plastic","A",3,2.5
"113","traverse","L174","Ryan",2019-01-27,"dh2o","A",3,3
"114","traverse","L174","Ryan",2019-01-31,"conditioned plastic","A",3,5
"115","traverse","L174","Ryan",2019-02-02,"food","A",3,2
"116","traverse","L176","Stanley",2019-01-31,"conditioned plastic","A",4,1
"117","traverse","L177","Oscar",2019-01-16,"dh2o","B",5,1.5
"118","traverse","L177","Oscar",2019-01-28,"conditioned plastic","B",5,5.5
"119","traverse","L178","Angela",2019-01-28,"clean plastic","B",5,2.5
"120","traverse","L179","Kevin",2019-01-14,"dh2o","B",6,1
"121","traverse","L179","Kevin",2019-01-16,"food","B",6,1.5
"122","traverse","L179","Kevin",2019-01-22,"clean plastic","B",6,2
"123","traverse","L180","Meredith",2019-01-16,"dh2o","B",6,1
"124","traverse","L180","Meredith",2019-01-18,"food","B",6,4
"125","traverse","L180","Meredith",2019-01-24,"conditioned plastic","B",6,2.5
"126","traverse","L181","Daryll",2019-01-16,"conditioned plastic","B",7,2
"127","traverse","L181","Daryll",2019-01-24,"clean plastic","B",7,2
"128","traverse","L182","Jan",2019-01-14,"food","B",7,3
"129","traverse","L182","Jan",2019-01-22,"dh2o","B",7,11.5
"130","traverse","L182","Jan",2019-01-24,"conditioned plastic","B",7,6.5
"131","traverse","L183","Creed",2019-01-18,"dh2o","B",8,5
"132","traverse","L183","Creed",2019-01-22,"food","B",8,6
